"year","site","cover"
1992,1,23.88
1992,2,21.87
1992,3,19.94
1993,1,25.66
1993,2,21.38
1993,3,21.07
1994,1,21.63
1994,2,20.52
1994,3,21.7
1995,1,30.98
1995,2,25.37
1995,3,22.07
1996,1,31.96
1996,2,29.59
1996,3,26.85
1997,1,35.45
1997,2,31.1
1997,3,33.07
1998,1,37.08
1998,2,35.65
1998,3,31.2
1999,1,38.6
1999,2,32.69
1999,3,35.03
2000,1,37.49
2000,2,38.45
2000,3,33.35
2001,1,45.95
2001,2,42.7
2001,3,37.9
2002,1,47.02
2002,2,43.22
2002,3,41.04
2003,1,42.37
2003,2,42.04
2003,3,36.72
2004,1,43.77
2004,2,38.34
2004,3,36.67
